PBL,,,,,,,,CLA,,,,,,,,WCL,,,,,,,,,,,
Location,estimated,,correct ,,,,,Location,estimated,,correct,,,,,Location,estimated,,correct,,,,,,,,
index P,x,y,x,y,error,,,index P,x,y,x,y,error,,,index P,x,y,x,y,error,,,,,,
1,30.10,1.00,32,0,2.15,,,1,20.00,0.30,32,0,12.00,,,1,29.66,0.93,32,0,2.52,,,,,,
2,20.80,-1.10,30,0,9.27,,,2,20.00,0.30,30,0,10.00,,,2,22.93,-0.58,30,0,7.09,,,,,,
3,20.80,-1.10,28,0,7.28,,,3,20.00,0.30,28,0,8.01,,,3,22.60,-0.67,28,0,5.44,,,,,,
4,20.80,-1.10,26,0,5.32,,,4,20.00,0.30,26,0,6.01,,,4,21.55,-0.93,26,0,4.55,,,,,,
5,20.80,-1.10,24,0,3.38,,,5,20.00,0.30,24,0,4.01,,,5,21.06,-0.97,24,0,3.09,,,,,,
6,20.80,-1.10,22,0,1.63,,,6,20.00,0.30,22,0,2.02,,,6,21.40,-0.80,22,0,1.00,,,,,,
7,20.80,-1.10,20,0,1.36,,,7,20.00,0.30,20,0,0.30,,,7,21.61,-0.65,20,0,1.74,,,,,,
8,20.80,-1.10,18,0,3.01,,,8,20.00,0.30,18,0,2.02,,,8,20.80,-0.22,18,0,2.81,,,,,,
9,9.10,1.00,16,0,6.97,,,9,20.00,0.30,16,0,4.01,,,9,16.03,0.17,16,0,0.18,,,,,,
10,9.10,1.00,14,0,5.00,,,10,20.00,0.30,14,0,6.01,,,10,14.95,0.11,14,0,0.96,,,,,,
11,9.10,1.00,12,0,3.07,,,11,20.00,0.30,12,0,8.01,,,11,10.11,0.93,12,0,2.11,,,,,,
12,9.10,1.00,10,0,1.35,,,12,20.00,0.30,10,0,10.00,,,12,9.31,0.97,10,0,1.19,,,,,,
13,9.10,1.00,8,0,1.49,,,13,20.00,0.30,8,0,12.00,,,13,9.36,0.99,8,0,1.68,,,,,,
14,9.10,1.00,6,0,3.26,,,14,20.00,0.30,6,0,14.00,,,14,9.85,0.94,6,0,3.96,,,,,,
15,9.10,1.00,4,0,5.20,,,15,9.33,-3.77,4,0,6.53,,,15,9.14,0.20,4,0,5.14,,,,,,
16,9.10,1.00,2,0,7.17,,,16,20.00,0.30,2,0,18.00,,,16,14.15,0.60,2,0,12.17,,,,,,
17,-1.00,15.60,0,0,15.63,,,17,2.07,1.80,0,0,2.74,,,17,-0.10,11.16,0,0,11.16,,,,,,
18,-1.00,15.60,0,2,13.64,,,18,2.07,1.80,0,2,2.08,,,18,0.70,4.40,0,2,2.50,,,,,,
19,-1.00,15.60,0,4,11.64,,,19,-0.63,11.70,0,4,7.73,,,19,-1.06,12.96,0,4,9.02,,,,,,
20,-1.00,15.60,0,6,9.65,,,20,-0.63,11.70,0,6,5.74,,,20,-0.97,15.36,0,6,9.41,,,,,,
21,-1.00,15.60,0,8,7.67,,,21,-0.63,11.70,0,8,3.75,,,21,-0.96,15.74,0,8,7.80,,,,,,
22,-1.00,15.60,0,10,5.69,,,22,-0.63,11.70,0,10,1.81,,,22,-0.99,15.61,0,10,5.70,,,,,,
23,-1.00,15.60,0,12,3.74,,,23,-0.63,11.70,0,12,0.70,,,23,-0.99,15.57,0,12,3.71,,,,,,
24,-1.00,15.60,0,14,1.89,,,24,0.33,30.17,0,14,16.17,,,24,-0.87,16.60,0,14,2.74,,,,,,
25,-1.00,15.60,0,16,1.08,,,25,0.33,30.17,0,16,14.17,,,25,-0.99,15.66,0,16,1.05,,,,,,
26,-1.00,15.60,0,18,2.60,,,26,0.33,30.17,0,18,12.17,,,26,-0.99,15.67,0,18,2.54,,,,,,
27,-1.00,15.60,0,20,4.51,,,27,0.33,30.17,0,20,10.17,,,27,-0.92,16.26,0,20,3.85,,,,,,
28,-1.00,15.60,0,22,6.48,,,28,0.33,30.17,0,22,8.17,,,28,-0.80,17.22,0,22,4.85,,,,,,
29,-1.00,15.60,0,24,8.46,,,29,0.33,30.17,0,24,6.18,,,29,-0.16,22.02,0,24,1.98,,,,,,
30,1.00,30.70,0,26,4.81,,,30,0.33,30.17,0,26,4.18,,,30,0.03,23.87,0,26,2.13,,,,,,
31,1.00,30.70,0,28,2.88,,,31,0.33,30.17,0,28,2.19,,,31,0.60,27.79,0,28,0.64,,,,,,
32,1.00,30.70,0,30,1.22,,,32,0.33,30.17,0,30,0.37,,,32,0.52,27.23,0,30,2.81,,,,,,
33,1.00,30.70,0,32,1.64,,,33,0.33,30.17,0,32,1.86,,,33,0.97,30.60,0,32,1.70,,,,,,
34,1.00,30.70,0,34,3.45,,,34,0.33,30.17,0,34,3.85,,,34,0.95,30.33,0,34,3.79,,,,,,
35,1.00,30.70,0,36,5.39,,,35,0.33,30.17,0,36,5.84,,,35,0.83,31.25,0,36,4.82,,,,,,
36,1.00,30.70,0,38,7.37,,,36,0.33,30.17,0,38,7.84,,,36,0.88,32.35,0,38,5.72,,,,,,
37,1.00,44.20,0,40,4.32,,,37,0.33,30.17,0,40,9.84,,,37,0.99,43.76,0,40,3.89,,,,,,
38,1.00,44.20,0,42,2.42,,,38,0.33,30.17,0,42,11.84,,,38,0.98,43.80,0,42,2.05,,,,,,
39,1.00,44.20,0,44,1.02,,,39,0.33,30.17,0,44,13.84,,,39,0.96,43.42,0,44,1.12,,,,,,
40,1.00,44.20,0,46,2.06,,,40,4.53,38.37,0,46,8.88,,,40,1.06,44.12,0,46,2.16,,,,,,
41,1.00,44.20,0,48,3.93,,,41,4.53,38.37,0,48,10.65,,,41,1.20,43.80,0,48,4.37,,,,,,
42,1.00,44.20,0,50,5.89,,,42,2.20,44.07,0,50,6.33,,,42,1.10,44.26,0,50,5.84,,,,,,
