SSID,RSSI,Frequency,Count,Position,AP_Name
tutwifi,-64,2412,0,9,AP-C0-3F-01
tutwifi,-64,2412,3,9,AP-C0-3F-01
tutwifi,-62,2412,5,9,AP-C0-3F-01
tutwifi,-63,2412,6,9,AP-C0-3F-01
tutwifi,-65,2412,7,9,AP-C0-3F-01
tutwifi,-62,2412,9,9,AP-C0-3F-01
tutwifi2025,-64,2412,0,9,AP-C0-3F-01
tutwifi2025,-64,2412,3,9,AP-C0-3F-01
tutwifi2025,-62,2412,5,9,AP-C0-3F-01
tutwifi2025,-65,2412,7,9,AP-C0-3F-01
tutwifi2025,-61,2412,9,9,AP-C0-3F-01
tutwifi,-65,2412,0,9,AP-C0-3F-03
tutwifi,-55,2412,2,9,AP-C0-3F-03
tutwifi,-59,2412,3,9,AP-C0-3F-03
tutwifi,-55,2412,4,9,AP-C0-3F-03
tutwifi,-64,2412,5,9,AP-C0-3F-03
tutwifi,-62,2412,6,9,AP-C0-3F-03
tutwifi,-54,2412,7,9,AP-C0-3F-03
tutwifi,-58,2412,8,9,AP-C0-3F-03
tutwifi,-55,2412,9,9,AP-C0-3F-03
tutwifi2025,-64,2412,0,9,AP-C0-3F-03
tutwifi2025,-55,2412,2,9,AP-C0-3F-03
tutwifi2025,-59,2412,3,9,AP-C0-3F-03
tutwifi2025,-55,2412,4,9,AP-C0-3F-03
tutwifi2025,-64,2412,5,9,AP-C0-3F-03
tutwifi2025,-62,2412,6,9,AP-C0-3F-03
tutwifi2025,-54,2412,7,9,AP-C0-3F-03
tutwifi2025,-55,2412,9,9,AP-C0-3F-03
tutwifi,-61,2412,1,9,AP-C0-3F-05
tutwifi,-64,2412,4,9,AP-C0-3F-05
tutwifi,-64,2412,5,9,AP-C0-3F-05
tutwifi,-64,2412,9,9,AP-C0-3F-05
tutwifi2025,-64,2412,0,9,AP-C0-3F-05
tutwifi2025,-64,2412,9,9,AP-C0-3F-05
tutwifi,-67,2412,2,9,AP-C0-4F-03
tutwifi,-67,2412,3,9,AP-C0-4F-03
tutwifi,-67,2412,4,9,AP-C0-4F-03
tutwifi,-67,2412,5,9,AP-C0-4F-03
tutwifi,-69,2412,6,9,AP-C0-4F-03
tutwifi,-65,2412,7,9,AP-C0-4F-03
tutwifi,-69,2412,9,9,AP-C0-4F-03
tutwifi2025,-67,2412,2,9,AP-C0-4F-03
tutwifi2025,-67,2412,3,9,AP-C0-4F-03
tutwifi2025,-69,2412,6,9,AP-C0-4F-03
tutwifi2025,-65,2412,7,9,AP-C0-4F-03
tutwifi2025,-69,2412,9,9,AP-C0-4F-03
tutwifi,-74,2437,3,9,AP-C0-2F-01
tutwifi,-76,2437,5,9,AP-C0-2F-01
tutwifi,-77,2437,7,9,AP-C0-2F-01
tutwifi2025,-74,2437,1,9,AP-C0-2F-01
tutwifi2025,-74,2437,3,9,AP-C0-2F-01
tutwifi2025,-74,2437,5,9,AP-C0-2F-01
tutwifi2025,-77,2437,7,9,AP-C0-2F-01
tutwifi,-62,2437,0,9,AP-C0-2F-02
tutwifi,-61,2437,1,9,AP-C0-2F-02
tutwifi,-61,2437,2,9,AP-C0-2F-02
tutwifi,-61,2437,3,9,AP-C0-2F-02
tutwifi,-63,2437,4,9,AP-C0-2F-02
tutwifi,-65,2437,5,9,AP-C0-2F-02
tutwifi,-63,2437,6,9,AP-C0-2F-02
tutwifi,-62,2437,7,9,AP-C0-2F-02
tutwifi,-61,2437,8,9,AP-C0-2F-02
tutwifi,-61,2437,9,9,AP-C0-2F-02
