SSID,RSSI,Frequency,Count,Position,AP_Name
tutwifi,-69,2412,0,53,AP-C3-2F-01
tutwifi,-69,2412,1,53,AP-C3-2F-01
tutwifi,-69,2412,3,53,AP-C3-2F-01
tutwifi,-68,2412,5,53,AP-C3-2F-01
tutwifi,-68,2412,7,53,AP-C3-2F-01
tutwifi2025,-69,2412,0,53,AP-C3-2F-01
tutwifi2025,-69,2412,1,53,AP-C3-2F-01
tutwifi2025,-69,2412,3,53,AP-C3-2F-01
tutwifi2025,-68,2412,5,53,AP-C3-2F-01
tutwifi2025,-68,2412,7,53,AP-C3-2F-01
tutwifi,-65,2412,1,53,AP-C3-3F-01
tutwifi,-63,2412,3,53,AP-C3-3F-01
tutwifi,-57,2412,6,53,AP-C3-3F-01
tutwifi,-64,2412,7,53,AP-C3-3F-01
tutwifi,-54,2412,9,53,AP-C3-3F-01
tutwifi2025,-65,2412,1,53,AP-C3-3F-01
tutwifi2025,-67,2412,2,53,AP-C3-3F-01
tutwifi2025,-64,2412,7,53,AP-C3-3F-01
tutwifi2025,-54,2412,9,53,AP-C3-3F-01
tutwifi,-86,2412,6,53,AP-C3-5F-02
tutwifi2025,-86,2412,2,53,AP-C3-5F-02
tutwifi2025,-86,2412,6,53,AP-C3-5F-02
tutwifi,-85,2437,7,53,AP-C3-1F-01
tutwifi2025,-84,2437,1,53,AP-C3-1F-01
tutwifi2025,-81,2437,2,53,AP-C3-1F-01
tutwifi2025,-84,2437,7,53,AP-C3-1F-01
tutwifi2025,-82,2437,8,53,AP-C3-1F-01
tutwifi,-81,2437,0,53,AP-C3-1F-02
tutwifi,-83,2437,1,53,AP-C3-1F-02
tutwifi,-82,2437,2,53,AP-C3-1F-02
tutwifi,-82,2437,8,53,AP-C3-1F-02
tutwifi2025,-82,2437,6,53,AP-C3-1F-02
tutwifi2025,-82,2437,8,53,AP-C3-1F-02
tutwifi,-59,2437,0,53,AP-C3-2F-02
tutwifi,-57,2437,1,53,AP-C3-2F-02
tutwifi,-58,2437,2,53,AP-C3-2F-02
tutwifi,-57,2437,3,53,AP-C3-2F-02
tutwifi,-59,2437,4,53,AP-C3-2F-02
tutwifi,-57,2437,5,53,AP-C3-2F-02
tutwifi,-58,2437,6,53,AP-C3-2F-02
tutwifi,-58,2437,7,53,AP-C3-2F-02
tutwifi,-57,2437,8,53,AP-C3-2F-02
tutwifi2025,-59,2437,0,53,AP-C3-2F-02
tutwifi2025,-58,2437,1,53,AP-C3-2F-02
tutwifi2025,-57,2437,2,53,AP-C3-2F-02
tutwifi2025,-57,2437,3,53,AP-C3-2F-02
tutwifi2025,-59,2437,4,53,AP-C3-2F-02
tutwifi2025,-57,2437,5,53,AP-C3-2F-02
tutwifi2025,-56,2437,6,53,AP-C3-2F-02
tutwifi2025,-58,2437,7,53,AP-C3-2F-02
tutwifi2025,-57,2437,8,53,AP-C3-2F-02
tutwifi,-45,2437,0,53,AP-C3-3F-03
tutwifi,-52,2437,1,53,AP-C3-3F-03
tutwifi,-51,2437,2,53,AP-C3-3F-03
tutwifi,-52,2437,3,53,AP-C3-3F-03
tutwifi,-53,2437,4,53,AP-C3-3F-03
tutwifi,-48,2437,5,53,AP-C3-3F-03
tutwifi,-52,2437,6,53,AP-C3-3F-03
tutwifi,-53,2437,7,53,AP-C3-3F-03
tutwifi,-50,2437,8,53,AP-C3-3F-03
tutwifi,-52,2437,9,53,AP-C3-3F-03
tutwifi2025,-45,2437,0,53,AP-C3-3F-03
