SSID,RSSI,Frequency,Count,Position,AP_Name
tutwifi,-53,2412,-1,1,AP-C0-3F-01
tutwifi,-46,2412,0,1,AP-C0-3F-01
tutwifi,-52,2412,1,1,AP-C0-3F-01
tutwifi,-54,2412,3,1,AP-C0-3F-01
tutwifi,-54,2412,4,1,AP-C0-3F-01
tutwifi,-53,2412,5,1,AP-C0-3F-01
tutwifi,-49,2412,6,1,AP-C0-3F-01
tutwifi,-48,2412,7,1,AP-C0-3F-01
tutwifi,-50,2412,8,1,AP-C0-3F-01
tutwifi,-51,2412,9,1,AP-C0-3F-01
tutwifi2025,-53,2412,-1,1,AP-C0-3F-01
tutwifi2025,-46,2412,0,1,AP-C0-3F-01
tutwifi2025,-52,2412,1,1,AP-C0-3F-01
tutwifi2025,-53,2412,3,1,AP-C0-3F-01
tutwifi2025,-54,2412,4,1,AP-C0-3F-01
tutwifi2025,-53,2412,5,1,AP-C0-3F-01
tutwifi2025,-49,2412,6,1,AP-C0-3F-01
tutwifi2025,-49,2412,7,1,AP-C0-3F-01
tutwifi2025,-50,2412,8,1,AP-C0-3F-01
tutwifi2025,-49,2412,9,1,AP-C0-3F-01
tutwifi,-62,2437,-1,1,AP-C0-3F-02
tutwifi,-76,2437,0,1,AP-C0-3F-02
tutwifi,-78,2437,7,1,AP-C0-3F-02
tutwifi,-76,2437,8,1,AP-C0-3F-02
tutwifi,-83,2437,9,1,AP-C0-3F-02
tutwifi2025,-62,2437,-1,1,AP-C0-3F-02
tutwifi2025,-75,2437,0,1,AP-C0-3F-02
tutwifi2025,-79,2437,5,1,AP-C0-3F-02
tutwifi2025,-76,2437,8,1,AP-C0-3F-02
tutwifi2025,-83,2437,9,1,AP-C0-3F-02
tutwifi,-50,2437,-1,1,AP-C0-4F-01
tutwifi,-49,2437,0,1,AP-C0-4F-01
tutwifi,-52,2437,1,1,AP-C0-4F-01
tutwifi,-52,2437,2,1,AP-C0-4F-01
tutwifi,-50,2437,3,1,AP-C0-4F-01
tutwifi,-50,2437,4,1,AP-C0-4F-01
tutwifi,-49,2437,5,1,AP-C0-4F-01
tutwifi,-45,2437,6,1,AP-C0-4F-01
tutwifi,-44,2437,7,1,AP-C0-4F-01
tutwifi,-49,2437,8,1,AP-C0-4F-01
tutwifi,-49,2437,9,1,AP-C0-4F-01
tutwifi2025,-51,2437,-1,1,AP-C0-4F-01
tutwifi2025,-49,2437,0,1,AP-C0-4F-01
tutwifi2025,-51,2437,1,1,AP-C0-4F-01
tutwifi2025,-52,2437,2,1,AP-C0-4F-01
tutwifi2025,-50,2437,3,1,AP-C0-4F-01
tutwifi2025,-50,2437,4,1,AP-C0-4F-01
tutwifi2025,-49,2437,5,1,AP-C0-4F-01
tutwifi2025,-45,2437,6,1,AP-C0-4F-01
tutwifi2025,-44,2437,7,1,AP-C0-4F-01
tutwifi2025,-49,2437,8,1,AP-C0-4F-01
tutwifi2025,-49,2437,9,1,AP-C0-4F-01
tutwifi,-71,2437,1,1,AP-C0-4F-03
tutwifi,-72,2437,3,1,AP-C0-4F-03
tutwifi,-69,2437,5,1,AP-C0-4F-03
tutwifi,-73,2437,6,1,AP-C0-4F-03
tutwifi,-72,2437,7,1,AP-C0-4F-03
tutwifi,-69,2437,8,1,AP-C0-4F-03
tutwifi,-73,2437,9,1,AP-C0-4F-03
tutwifi2025,-70,2437,0,1,AP-C0-4F-03
tutwifi2025,-72,2437,3,1,AP-C0-4F-03
tutwifi2025,-69,2437,5,1,AP-C0-4F-03
tutwifi2025,-72,2437,7,1,AP-C0-4F-03
tutwifi2025,-72,2437,9,1,AP-C0-4F-03
tutwifi,-64,2437,-1,1,AP-C0-5F-02
tutwifi,-64,2437,0,1,AP-C0-5F-02
tutwifi,-63,2437,1,1,AP-C0-5F-02
tutwifi,-66,2437,3,1,AP-C0-5F-02
tutwifi,-67,2437,4,1,AP-C0-5F-02
tutwifi,-66,2437,5,1,AP-C0-5F-02
tutwifi,-65,2437,6,1,AP-C0-5F-02
tutwifi,-75,2437,7,1,AP-C0-5F-02
tutwifi,-72,2437,9,1,AP-C0-5F-02
tutwifi2025,-63,2437,-1,1,AP-C0-5F-02
tutwifi2025,-64,2437,0,1,AP-C0-5F-02
tutwifi2025,-63,2437,1,1,AP-C0-5F-02
tutwifi2025,-66,2437,3,1,AP-C0-5F-02
tutwifi2025,-67,2437,4,1,AP-C0-5F-02
tutwifi2025,-66,2437,5,1,AP-C0-5F-02
tutwifi2025,-65,2437,6,1,AP-C0-5F-02
tutwifi2025,-74,2437,7,1,AP-C0-5F-02
tutwifi2025,-72,2437,9,1,AP-C0-5F-02
tutwifi,-86,2437,5,1,AP-C0-5F-03
tutwifi2025,-86,2437,5,1,AP-C0-5F-03
tutwifi,-80,2437,5,1,AP-C0-6F-01
tutwifi,-85,2437,7,1,AP-C0-6F-01
tutwifi2025,-81,2437,5,1,AP-C0-6F-01
tutwifi2025,-85,2437,7,1,AP-C0-6F-01
tutwifi,-83,2437,8,1,AP-C1-4F-02
tutwifi,-83,2437,9,1,AP-C1-4F-02
tutwifi2025,-83,2437,9,1,AP-C1-4F-02
tutwifi,-89,2462,2,1,AP-B2-5F-01
tutwifi,-86,2462,6,1,AP-C0-2F-01
