SSID,RSSI,Frequency,Count,Position,AP_Name
tutwifi,-77,2412,0,15,AP-C0-2F-02
tutwifi,-78,2412,3,15,AP-C0-2F-02
tutwifi,-74,2412,6,15,AP-C0-2F-02
tutwifi2025,-78,2412,0,15,AP-C0-2F-02
tutwifi,-86,2412,-1,15,AP-C0-3F-01
tutwifi,-83,2412,6,15,AP-C0-3F-01
tutwifi2025,-84,2412,-1,15,AP-C0-3F-01
tutwifi2025,-84,2412,0,15,AP-C0-3F-01
tutwifi2025,-82,2412,6,15,AP-C0-3F-01
tutwifi,-73,2437,0,15,AP-C0-4F-01
tutwifi,-72,2437,1,15,AP-C0-4F-01
tutwifi,-69,2437,3,15,AP-C0-4F-01
tutwifi,-69,2437,7,15,AP-C0-4F-01
tutwifi2025,-72,2437,1,15,AP-C0-4F-01
tutwifi2025,-70,2437,7,15,AP-C0-4F-01
tutwifi,-54,2437,1,15,AP-C0-4F-03
tutwifi,-52,2437,4,15,AP-C0-4F-03
tutwifi,-44,2437,5,15,AP-C0-4F-03
tutwifi2025,-54,2437,1,15,AP-C0-4F-03
tutwifi2025,-44,2437,5,15,AP-C0-4F-03
tutwifi,-85,2437,2,15,AP-C0-5F-02
tutwifi2025,-88,2437,1,15,AP-C0-5F-02
tutwifi,-64,2437,2,15,AP-C0-5F-03
tutwifi,-65,2437,3,15,AP-C0-5F-03
tutwifi,-68,2437,4,15,AP-C0-5F-03
tutwifi,-60,2437,5,15,AP-C0-5F-03
tutwifi2025,-65,2437,3,15,AP-C0-5F-03
tutwifi2025,-68,2437,4,15,AP-C0-5F-03
tutwifi2025,-61,2437,5,15,AP-C0-5F-03
tutwifi2025,-67,2437,8,15,AP-C0-5F-03
tutwifi2025,-67,2437,9,15,AP-C0-5F-03
tutwifi,-83,2437,2,15,AP-C0-6F-03
tutwifi2025,-82,2437,0,15,AP-C0-6F-03
tutwifi2025,-83,2437,2,15,AP-C0-6F-03
tutwifi,-67,2462,-1,15,AP-C0-3F-03
tutwifi,-63,2462,1,15,AP-C0-3F-03
tutwifi,-62,2462,3,15,AP-C0-3F-03
tutwifi,-61,2462,4,15,AP-C0-3F-03
tutwifi,-56,2462,5,15,AP-C0-3F-03
tutwifi,-57,2462,6,15,AP-C0-3F-03
tutwifi,-59,2462,8,15,AP-C0-3F-03
tutwifi2025,-63,2462,1,15,AP-C0-3F-03
tutwifi2025,-61,2462,4,15,AP-C0-3F-03
tutwifi2025,-56,2462,5,15,AP-C0-3F-03
tutwifi2025,-57,2462,6,15,AP-C0-3F-03
tutwifi2025,-60,2462,8,15,AP-C0-3F-03
tutwifi,-72,2462,0,15,AP-C0-4F-02
tutwifi,-61,2462,6,15,AP-C0-4F-02
tutwifi2025,-73,2462,1,15,AP-C0-4F-02
tutwifi2025,-61,2462,6,15,AP-C0-4F-02
tutwifi,-70,2462,2,15,AP-C0-4F-04
tutwifi2025,-70,2462,2,15,AP-C0-4F-04
tutwifi2025,-71,2462,4,15,AP-C0-4F-04
tutwifi,-89,5180,0,15,AP-C2-4F-03
tutwifi,-90,5180,1,15,AP-C2-4F-03
tutwifi,-89,5180,2,15,AP-C2-4F-03
tutwifi,-89,5180,3,15,AP-C2-4F-03
tutwifi,-88,5180,4,15,AP-C2-4F-03
tutwifi,-89,5180,5,15,AP-C2-4F-03
tutwifi,-88,5180,6,15,AP-C2-4F-03
tutwifi,-88,5180,7,15,AP-C2-4F-03
tutwifi,-90,5180,8,15,AP-C2-4F-03
tutwifi,-87,5180,9,15,AP-C2-4F-03
tutwifi2025,-88,5180,0,15,AP-C2-4F-03
tutwifi2025,-90,5180,1,15,AP-C2-4F-03
tutwifi2025,-89,5180,2,15,AP-C2-4F-03
tutwifi2025,-88,5180,3,15,AP-C2-4F-03
tutwifi2025,-88,5180,4,15,AP-C2-4F-03
tutwifi2025,-90,5180,5,15,AP-C2-4F-03
tutwifi2025,-88,5180,6,15,AP-C2-4F-03
tutwifi2025,-88,5180,7,15,AP-C2-4F-03
tutwifi2025,-89,5180,8,15,AP-C2-4F-03
tutwifi2025,-87,5180,9,15,AP-C2-4F-03
tutwifi,-66,5220,-1,15,AP-C0-4F-01
tutwifi,-68,5220,1,15,AP-C0-4F-01
tutwifi,-67,5220,2,15,AP-C0-4F-01
tutwifi,-67,5220,3,15,AP-C0-4F-01
tutwifi,-67,5220,4,15,AP-C0-4F-01
tutwifi,-64,5220,5,15,AP-C0-4F-01
tutwifi,-64,5220,6,15,AP-C0-4F-01
tutwifi,-69,5220,7,15,AP-C0-4F-01
tutwifi,-74,5220,8,15,AP-C0-4F-01
tutwifi,-67,5220,9,15,AP-C0-4F-01
tutwifi2025,-68,5220,1,15,AP-C0-4F-01
tutwifi2025,-67,5220,2,15,AP-C0-4F-01
tutwifi2025,-67,5220,3,15,AP-C0-4F-01
tutwifi2025,-64,5220,5,15,AP-C0-4F-01
tutwifi2025,-64,5220,6,15,AP-C0-4F-01
tutwifi2025,-69,5220,7,15,AP-C0-4F-01
tutwifi2025,-73,5220,8,15,AP-C0-4F-01
tutwifi2025,-67,5220,9,15,AP-C0-4F-01
tutwifi,-82,5260,-1,15,AP-C0-5F-03
tutwifi,-84,5260,0,15,AP-C0-5F-03
tutwifi,-86,5260,1,15,AP-C0-5F-03
tutwifi,-89,5260,2,15,AP-C0-5F-03
tutwifi,-86,5260,3,15,AP-C0-5F-03
tutwifi,-88,5260,4,15,AP-C0-5F-03
tutwifi,-90,5260,5,15,AP-C0-5F-03
tutwifi,-87,5260,8,15,AP-C0-5F-03
tutwifi,-88,5260,9,15,AP-C0-5F-03
tutwifi2025,-82,5260,-1,15,AP-C0-5F-03
tutwifi2025,-83,5260,0,15,AP-C0-5F-03
tutwifi2025,-86,5260,1,15,AP-C0-5F-03
tutwifi2025,-89,5260,2,15,AP-C0-5F-03
tutwifi2025,-87,5260,3,15,AP-C0-5F-03
tutwifi2025,-88,5260,4,15,AP-C0-5F-03
tutwifi2025,-88,5260,8,15,AP-C0-5F-03
tutwifi2025,-88,5260,9,15,AP-C0-5F-03
tutwifi,-65,5620,-1,15,AP-C0-4F-02
tutwifi,-66,5620,0,15,AP-C0-4F-02
tutwifi,-74,5620,1,15,AP-C0-4F-02
tutwifi,-74,5620,2,15,AP-C0-4F-02
tutwifi,-72,5620,3,15,AP-C0-4F-02
tutwifi,-74,5620,4,15,AP-C0-4F-02
tutwifi,-65,5620,5,15,AP-C0-4F-02
tutwifi,-65,5620,6,15,AP-C0-4F-02
tutwifi,-76,5620,7,15,AP-C0-4F-02
tutwifi,-74,5620,8,15,AP-C0-4F-02
tutwifi,-75,5620,9,15,AP-C0-4F-02
tutwifi2025,-65,5620,-1,15,AP-C0-4F-02
