method,held_out,error,true_x,true_y
centered_fp,1,3.327518826356499,32.0,0.0
centered_fp,2,0.7839039506804149,30.0,0.0
centered_fp,3,1.1893494705715923,28.0,0.0
centered_fp,4,0.988882372011556,26.0,0.0
centered_fp,5,1.7232306478925992,24.0,0.0
centered_fp,6,4.049028213183178,22.0,0.0
centered_fp,7,0.48430700313144825,20.0,0.0
centered_fp,8,0.8240001906290146,18.0,0.0
centered_fp,9,0.7779699594325926,16.0,0.0
centered_fp,10,1.6712063047182326,14.0,0.0
centered_fp,11,1.6228776545379855,12.0,0.0
centered_fp,12,0.7845802956053767,10.0,0.0
centered_fp,13,1.3241105280976857,8.0,0.0
centered_fp,14,1.0416281275463195,6.0,0.0
centered_fp,15,1.25699359272891,4.0,0.0
centered_fp,16,3.717297838452712,2.0,0.0
centered_fp,17,1.8533954918143338,0.0,0.0
centered_fp,18,0.9943204039756397,0.0,2.0
centered_fp,19,0.9826722502638736,0.0,4.0
centered_fp,20,0.4958292220565257,0.0,6.0
centered_fp,21,1.4441551757727638,0.0,8.0
centered_fp,22,1.3730965075754362,0.0,10.0
centered_fp,23,1.5761556997622819,0.0,12.0
centered_fp,24,3.9893027570175583,0.0,14.0
centered_fp,25,0.5674870184902385,0.0,16.0
centered_fp,26,1.842535742956315,0.0,18.0
centered_fp,27,0.9572524919204959,0.0,20.0
centered_fp,28,1.3081045930892827,0.0,22.0
centered_fp,29,1.5404486212457726,0.0,24.0
centered_fp,30,4.381788069821123,0.0,26.0
centered_fp,31,4.510112955480668,0.0,28.0
centered_fp,32,3.9037678308360952,0.0,30.0
centered_fp,33,4.706508563512429,0.0,32.0
centered_fp,34,6.710915249506815,0.0,34.0
centered_fp,35,6.71998284629672,0.0,36.0
centered_fp,36,4.155120141538831,0.0,38.0
centered_fp,37,3.957563384434735,0.0,40.0
centered_fp,38,1.3477111484722926,0.0,42.0
centered_fp,39,1.1687438810803883,0.0,44.0
centered_fp,40,0.9551530930688088,0.0,46.0
centered_fp,41,0.9113461596724974,0.0,48.0
centered_fp,42,1.0301640846266906,0.0,50.0
centered_fp,43,1.5810845595884828,0.0,52.0
centered_fp,44,1.2539743115447308,0.0,54.0
centered_fp,45,1.9792561256529508,0.0,56.0
centered_fp,46,3.857324556653438,2.0,56.0
centered_fp,47,1.0375855137561025,4.0,56.0
centered_fp,48,1.3524478747883384,6.0,56.0
centered_fp,49,1.9611090420389754,8.0,56.0
centered_fp,50,4.103641538463269,10.0,56.0
centered_fp,51,3.9035228608418233,12.0,56.0
centered_fp,52,1.271979573466517,14.0,56.0
centered_fp,53,1.1369895973908815,16.0,56.0
centered_fp,54,3.112590251660773,18.0,56.0
centered_fp,55,1.0077202165325296,20.0,56.0
centered_fp,56,0.4459528215323303,22.0,56.0
centered_fp,57,1.4024190903631464,24.0,56.0
centered_fp,58,0.8187057075835575,26.0,56.0
centered_fp,59,3.6820872475769555,28.0,56.0
cla,1,12.003749414245531,32.0,0.0
cla,2,10.004498987955365,30.0,0.0
cla,3,8.00562302385017,28.0,0.0
cla,4,6.007495318350233,26.0,0.0
cla,5,4.011234224026312,24.0,0.0
cla,6,2.022374841615665,22.0,0.0
cla,7,0.3,20.0,0.0
cla,8,2.022374841615672,18.0,0.0
cla,9,4.011234224026316,16.0,0.0
cla,10,6.007495318350236,14.0,0.0
cla,11,8.005623023850173,12.0,0.0
cla,12,10.004498987955369,10.0,0.0
cla,13,12.003749414245535,8.0,0.0
cla,14,14.003213916812097,6.0,0.0
cla,15,6.529335511537313,4.0,0.0
cla,16,18.002499826412997,2.0,0.0
cla,17,2.7406406388125952,0.0,0.0
cla,18,2.076321533652991,0.0,2.0
cla,19,7.726002272269348,0.0,4.0
cla,20,5.735077254153695,0.0,6.0
cla,21,3.7538128764112755,0.0,8.0
cla,22,1.8141419765583682,0.0,10.0
cla,23,0.7007932013876224,0.0,12.0
cla,24,16.17010272763356,0.0,14.0
cla,25,14.170587692666652,0.0,16.0
cla,26,12.17123202017318,0.0,18.0
cla,27,10.172129679778086,0.0,20.0
cla,28,8.173466556826153,0.0,22.0
cla,29,6.175669104549637,0.0,24.0
cla,30,4.179978734661486,0.0,26.0
cla,31,2.1921577396609853,0.0,28.0
cla,32,0.3726779962499655,0.0,30.0
cla,33,1.8633899812498236,0.0,32.0
cla,34,3.8477987935383973,0.0,34.0
cla,35,5.842849380986034,0.0,36.0
cla,36,7.84042232422605,0.0,38.0
cla,37,9.838981428763626,0.0,40.0
cla,38,11.838027238053174,0.0,42.0
cla,39,13.837348814791879,0.0,44.0
cla,40,8.878000275337284,0.0,46.0
cla,41,10.64670006256503,0.0,48.0
cla,42,6.3280679867116225,0.0,50.0
cla,43,6.405553146380967,0.0,52.0
cla,44,6.630568938216721,0.0,54.0
cla,45,7.409303461039892,0.0,56.0
cla,46,5.770422668901969,2.0,56.0
cla,47,10.652177659468926,4.0,56.0
cla,48,8.656532536504182,6.0,56.0
cla,49,6.663499247559214,8.0,56.0
cla,50,4.676418382575374,10.0,56.0
cla,51,2.708423075436248,12.0,56.0
cla,52,0.8956685895029546,14.0,56.0
cla,53,1.5062831370259977,16.0,56.0
cla,54,3.4257197135135775,18.0,56.0
cla,55,5.403908050866726,20.0,56.0
cla,56,7.393841281018202,22.0,56.0
cla,57,9.388053874768485,24.0,56.0
cla,58,11.384297177350135,26.0,56.0
cla,59,13.381662411258509,28.0,56.0
gp_corridor,1,0.051875992115185454,32.0,0.0
gp_corridor,2,0.770183426795743,30.0,0.0
gp_corridor,3,0.4681942835068291,28.0,0.0
gp_corridor,4,0.45034331367000036,26.0,0.0
gp_corridor,5,0.5651378298500944,24.0,0.0
gp_corridor,6,0.009109380759749541,22.0,0.0
gp_corridor,7,0.22095032098841472,20.0,0.0
gp_corridor,8,0.0848866364414178,18.0,0.0
gp_corridor,9,0.30378460368284976,16.0,0.0
gp_corridor,10,0.5445929025321057,14.0,0.0
gp_corridor,11,0.30887210341779436,12.0,0.0
gp_corridor,12,0.2031185597113172,10.0,0.0
gp_corridor,13,0.5022457520234269,8.0,0.0
gp_corridor,14,0.00039193682798810414,6.0,0.0
gp_corridor,15,0.2876657379948533,4.0,0.0
gp_corridor,16,0.6685286378223836,2.0,0.0
gp_corridor,17,0.22721061997255274,0.0,0.0
gp_corridor,18,0.22815880363719288,0.0,2.0
gp_corridor,19,0.1144965316525699,0.0,4.0
gp_corridor,20,0.4964316308541754,0.0,6.0
gp_corridor,21,3.524072946539306,0.0,8.0
gp_corridor,22,0.5905832052041831,0.0,10.0
gp_corridor,23,1.6024139643903652,0.0,12.0
gp_corridor,24,0.07292772662457025,0.0,14.0
gp_corridor,25,0.5320321947709061,0.0,16.0
gp_corridor,26,0.6094546861704018,0.0,18.0
gp_corridor,27,0.7863721816619744,0.0,20.0
gp_corridor,28,2.6818926479867713,0.0,22.0
gp_corridor,29,0.06903047474455803,0.0,24.0
gp_corridor,30,0.8788591918837199,0.0,26.0
gp_corridor,31,2.318188948098424,0.0,28.0
gp_corridor,32,4.244452195520978,0.0,30.0
gp_corridor,33,0.6466323831746799,0.0,32.0
gp_corridor,34,2.286011147441126,0.0,34.0
gp_corridor,35,1.012248253392599,0.0,36.0
gp_corridor,36,1.105789637622152,0.0,38.0
gp_corridor,37,0.02555830174421203,0.0,40.0
gp_corridor,38,0.3855319896607199,0.0,42.0
gp_corridor,39,0.7743129598666769,0.0,44.0
gp_corridor,40,0.41379668375080314,0.0,46.0
gp_corridor,41,0.8720627353198154,0.0,48.0
gp_corridor,42,0.24019963226476193,0.0,50.0
gp_corridor,43,0.027651400063078313,0.0,52.0
gp_corridor,44,0.7026847243822658,0.0,54.0
gp_corridor,45,0.32041830433274754,0.0,56.0
gp_corridor,46,0.7586769760564351,2.0,56.0
gp_corridor,47,0.6563899182842476,4.0,56.0
gp_corridor,48,0.8296796028167392,6.0,56.0
gp_corridor,49,0.024294722083979536,8.0,56.0
gp_corridor,50,1.1073600558788854,10.0,56.0
gp_corridor,51,0.36667967764853415,12.0,56.0
gp_corridor,52,0.1620197680186095,14.0,56.0
gp_corridor,53,0.5877759991363813,16.0,56.0
gp_corridor,54,0.997803659297972,18.0,56.0
gp_corridor,55,0.06178440713536304,20.0,56.0
gp_corridor,56,0.6527726845982755,22.0,56.0
gp_corridor,57,0.35063506857605375,24.0,56.0
gp_corridor,58,0.4672429073657156,26.0,56.0
gp_corridor,59,2.5161285583375133,28.0,56.0
multiband_wcl,1,2.498381415873441,32.0,0.0
multiband_wcl,2,5.327000564816375,30.0,0.0
multiband_wcl,3,4.60250588940801,28.0,0.0
multiband_wcl,4,4.3249594664881785,26.0,0.0
multiband_wcl,5,2.039251688514359,24.0,0.0
multiband_wcl,6,0.7700564601901297,22.0,0.0
multiband_wcl,7,2.5043072339979866,20.0,0.0
multiband_wcl,8,3.108313155843269,18.0,0.0
multiband_wcl,9,3.040744813370404,16.0,0.0
multiband_wcl,10,3.2390370006987688,14.0,0.0
multiband_wcl,11,0.8896182285822302,12.0,0.0
multiband_wcl,12,1.0730754140552126,10.0,0.0
multiband_wcl,13,2.074584406988894,8.0,0.0
multiband_wcl,14,4.460498065818962,6.0,0.0
multiband_wcl,15,6.547482208714653,4.0,0.0
multiband_wcl,16,10.055088930112607,2.0,0.0
multiband_wcl,17,4.815190650154727,0.0,0.0
multiband_wcl,18,4.578468699160821,0.0,2.0
multiband_wcl,19,8.789637598984342,0.0,4.0
multiband_wcl,20,9.318366167554451,0.0,6.0
multiband_wcl,21,7.77277444423216,0.0,8.0
multiband_wcl,22,5.602057597201672,0.0,10.0
multiband_wcl,23,3.7784020115861905,0.0,12.0
multiband_wcl,24,3.5619966556098177,0.0,14.0
multiband_wcl,25,1.1069127479960328,0.0,16.0
multiband_wcl,26,2.5267692296958275,0.0,18.0
multiband_wcl,27,3.9897646409474063,0.0,20.0
multiband_wcl,28,4.90622419889256,0.0,22.0
multiband_wcl,29,2.295484302891198,0.0,24.0
multiband_wcl,30,2.5954156058823483,0.0,26.0
multiband_wcl,31,1.6807062297144506,0.0,28.0
multiband_wcl,32,1.1719622471081261,0.0,30.0
multiband_wcl,33,1.8295803965991126,0.0,32.0
multiband_wcl,34,3.8190669920743345,0.0,34.0
multiband_wcl,35,4.81695236937455,0.0,36.0
