method,fold,ave,median,p75,p90,max,std,within_2m,within_4m,ci_lo,ci_hi,delta_vs_wcl,delta_lo,delta_hi,failed
centered_fp,forward_to_backward,1.3689656806040251,0.7958170847668901,1.8054486786788182,3.9437425723615305,6.71998284629672,1.6119384249520485,0.8135593220338984,0.8983050847457628,0.9813237187049677,1.79688024358995,-2.1435330164457373,-2.8969775393638626,-1.3177759209089699,False
cla,forward_to_backward,7.023452754540772,6.529335511537313,10.004498987955367,12.41331809839025,18.002499826412997,4.219232299551344,0.11864406779661017,0.2711864406779661,5.976175153447685,7.996645808733657,3.51095405749101,2.402709708334269,4.581146954199267,False
gp_corridor,forward_to_backward,0.8994735389880395,0.660703536034319,1.1075061491878202,2.3223996128880637,4.167567003167612,0.8445011483168606,0.8813559322033898,0.9830508474576272,0.6945097356070128,1.1304361744564215,-2.6130251580617236,-3.2711534415455454,-1.9357122960986042,False
multiband_wcl,forward_to_backward,3.809416933871661,3.4666664987852185,4.820689130346903,6.431998473299031,11.07895718398587,2.2926128397042276,0.2033898305084746,0.6440677966101694,3.251622228805739,4.3683766788096685,0.2969182368218983,-0.09627145407809275,0.6819584267060131,False
pbl,forward_to_backward,4.517736691243525,3.66742416417845,5.865970990361124,7.982935919032528,15.632018423735305,3.1359675503307742,0.23728813559322035,0.559322033898305,3.6758948546743673,5.29448898892156,1.0052379941937624,0.40918502045097493,1.6315469087641055,False
rank_fp,forward_to_backward,1.3662894720749916,0.46239150379085103,1.6243837510600478,2.0243302638833818,31.628105464402967,4.088853417138472,0.8813559322033898,0.9491525423728814,0.6665106298807872,2.5920610613849444,-2.146209224974771,-3.1806174237190596,-0.5893502975181871,False
studentt_fp,forward_to_backward,1.1750761744063625,0.3626453786459264,1.9527686179880295,2.9069670515106973,7.797949631803771,1.5214960699815894,0.8305084745762712,0.9661016949152542,0.8247272403754854,1.6137463194616213,-2.3374225226434007,-3.0889665885329993,-1.5962716263883552,False
wcl,forward_to_backward,3.512498697049763,2.814764938962698,4.814816650083077,6.091042791767084,12.169324421571217,2.536419996222908,0.3050847457627119,0.6949152542372882,2.88822526605041,4.1591944609849625,0.0,0.0,0.0,False
wcl_blacklist,forward_to_backward,3.7730338540654893,2.8709266736738646,4.836192569968472,7.323874133160824,13.224881937140081,2.9575602107821917,0.3050847457627119,0.6779661016949152,3.038822106754487,4.512294622840212,0.2605351570157263,0.04063547403344184,0.5651309066663385,False
wcl_corridor,forward_to_backward,3.314041574277657,2.7655518905040495,4.747590781642362,6.003137539455284,12.154501283482482,2.643527392495028,0.4067796610169492,0.6949152542372882,2.648168407166996,3.971933839864485,-0.19845712277210614,-0.2726567399237159,-0.13907793003667654,False
wcl_linpower,forward_to_backward,3.364771896013148,2.8167943200803895,4.81395760143802,6.065524928077482,11.660858287598295,2.4925968382866484,0.3559322033898305,0.6949152542372882,2.7490024762408583,3.9912570910517684,-0.14772680103661462,-0.3691408366490628,0.039723050269459874,False
wcl_powerdomain,forward_to_backward,3.5124986970497614,2.814764938962698,4.814816650083079,6.091042791767084,12.169324421571217,2.536419996222908,0.3050847457627119,0.6949152542372882,2.8882252660504095,4.159194460984962,-9.060548921305302e-16,-2.0965338692985053e-15,3.2758635728717265e-16,False
wcl_topl,forward_to_backward,3.512498697049763,2.814764938962698,4.814816650083077,6.091042791767084,12.169324421571217,2.536419996222908,0.3050847457627119,0.6949152542372882,2.88822526605041,4.1591944609849625,0.0,0.0,0.0,False
wcl_varweight,forward_to_backward,4.037717407668085,3.3304786977019636,6.105017587198062,7.604328336081358,14.055976169250696,3.0042802465354135,0.3220338983050847,0.5932203389830508,3.2965222391267885,4.757139673882796,0.5252187106183219,0.012107549288937342,1.0319979164917346,False
wknn,forward_to_backward,1.6462733055889267,1.586786098943744,2.0322161794755624,3.864045937276078,8.827668462366763,1.6135308843943275,0.7288135593220338,0.8983050847457628,1.2742004684863373,2.0872226649452603,-1.8662253914608358,-2.646528866120309,-1.080230466331303,False
centered_fp,backward_to_forward,1.3947889982416393,1.431776684516949,1.9904911454386616,2.702098183264082,5.969324982139554,1.334974989307326,0.7457627118644068,0.9491525423728814,1.0816366912555628,1.7611075891154695,-2.173754186644196,-2.8154349237607184,-1.5521585787362884,False
cla,backward_to_forward,8.071232504569052,6.942621983083914,10.412153669623507,14.884994193098395,24.16896540791287,5.3257245000477,0.0847457627118644,0.22033898305084745,6.802792049010926,9.496220337744433,4.502689319683217,3.265760491155793,5.806471487602501,False
gp_corridor,backward_to_forward,1.1178074693135611,0.889186170646532,1.5418940617169241,2.4369081173364835,4.755726332956485,0.9610602538989527,0.8135593220338984,0.9830508474576272,0.8770812806194651,1.3933457690016302,-2.450735715572274,-3.010930848966504,-1.924177162150893,False
multiband_wcl,backward_to_forward,3.7209491749274695,3.209832956237722,4.7422239435975655,7.374893499942582,12.989543498084274,2.6874341510278694,0.3050847457627119,0.6271186440677966,3.0823397341950387,4.428275404682601,0.15240599004163388,-0.07632380953047552,0.3965936241991293,False
pbl,backward_to_forward,4.376257122916297,3.7363083384538807,5.767475727114271,8.360056993694801,13.636715146984628,2.8157969701623045,0.23728813559322035,0.5423728813559322,3.6575386729323216,5.058721112776195,0.8077139380304623,0.3917767292813399,1.2514592839568242,False
rank_fp,backward_to_forward,1.6447867234732054,0.6740366842165919,1.7377356423906454,2.786552794298021,19.24218855822799,3.0064183763016845,0.7966101694915254,0.9322033898305084,0.9735040630769147,2.537580334048401,-1.9237564614126303,-2.580167428318869,-1.1670720569584407,False
studentt_fp,backward_to_forward,1.0897259673904505,1.0429998948902632,1.9383258025615344,2.372802890566203,4.68725172801361,1.1242869148542705,0.847457627118644,0.9830508474576272,0.7991084646468551,1.3752037645224364,-2.478817217495384,-3.0532556927043646,-1.8690920844369854,False
wcl,backward_to_forward,3.568543184885835,3.220260992871159,4.531993014828064,6.476291358349477,11.850898243554452,2.423180435615186,0.3220338983050847,0.6779661016949152,2.97788947243182,4.210161564139208,0.0,0.0,0.0,False
wcl_blacklist,backward_to_forward,3.7527647205347403,3.220260992871159,4.6809434370822345,6.945756684561069,12.49256254697546,2.725768355861434,0.3220338983050847,0.6610169491525424,3.072912921311811,4.470658621780054,0.18422153564890506,0.015960201484091236,0.4067500116212215,False
