protocol,fold,method,key,value
protocol_a,forward_to_backward,fisher_wknn,selected_M,32
protocol_a,forward_to_backward,fisher_wknn,selected_k,5
protocol_a,forward_to_backward,fisher_wknn,selected_weighting,inv_sq
protocol_a,forward_to_backward,fisher_wknn,n_selected_keys,32
protocol_a,forward_to_backward,fisher_wknn,cv_best_score,1.6687558587101587
protocol_a,forward_to_backward,mahalanobis_wknn,selected_cov_mode,within
protocol_a,forward_to_backward,mahalanobis_wknn,selected_k,3
protocol_a,forward_to_backward,mahalanobis_wknn,selected_weighting,inv_sq
protocol_a,forward_to_backward,mahalanobis_wknn,cv_scores,"{'within_k3_inv': 1.6970097521482588, 'within_k3_inv_sq': 1.5677132149225137, 'within_k5_inv': 1.9797365714632071, 'within_k5_inv_sq': 1.708868535370711, 'total_k3_inv': 4.040328579951044, 'total_k3_inv_sq': 3.851904068085367, 'total_k5_inv': 7.183413596818491, 'total_k5_inv_sq': 6.84649113057846}"
protocol_a,forward_to_backward,pls_corridor,component_grid,"[2, 3, 4, 6, 8, 10]"
protocol_a,forward_to_backward,pls_corridor,selected_n_components_candidate,6
protocol_a,forward_to_backward,pls_corridor,selected_n_components_actual,6
protocol_a,forward_to_backward,pls_corridor,cv_scores,"{2: 5.099606263808055, 3: 3.3940008612576893, 4: 2.8888348916520123, 6: 2.820005138081075, 8: 2.872042657951222, 10: 2.875251059875006}"
protocol_a,forward_to_backward,pls_corridor,n_features_after_drop,102
protocol_a,forward_to_backward,pls_corridor,n_train_locations,59
protocol_a,forward_to_backward,ordinal_corridor,selected_m,12
protocol_a,forward_to_backward,ordinal_corridor,selected_C,1.0
protocol_a,forward_to_backward,ordinal_corridor,cv_scores,"{(8, 0.1): 7.080912333295919, (8, 1.0): 7.014792841931205, (8, 10.0): 6.98726025659956, (12, 0.1): 5.4309276940753035, (12, 1.0): 5.262732267298631, (12, 10.0): 5.383446872376486}"
protocol_a,forward_to_backward,ordinal_corridor,n_degenerate_thresholds,0
protocol_a,forward_to_backward,wcl_residual,selected_alpha,1.0
